"bog","plantX","plantY"
"BCK",6044,7251
"BCK",6188,5741
"BCK",6271,3197
"BCK",6426,8825
"BCK",7100,6530
"BCK",8158,1485
"BCK",10284,8940
"BEE",71,84
"BEE",129,47
"BEE",170,135
"BEE",217,228
"BEE",224,123
"BEE",245,83
"BEE",255,265
"BEE",257,6
"BEE",269,152
"BEE",278,311
"BEE",279,224
"BEE",300,263
"BEE",300,300
"BEE",323,250
"BEE",332,261
"BEE",336,274
"BEE",388,109
"BLK",244,6409
"BLK",873,5238
"BLK",1059,2992
"BLK",1235,3277
"BLK",1453,1647
"BLK",1709,8431
"BLK",1796,9463
"BLK",1842,4847
"BLK",1874,10031
"BLK",1928,2803
"BLK",2015,2420
"BLK",2022,6214
"BLK",2095,4491
"BLK",2286,1458
"BLK",2910,2488
"BLK",2931,1990
"BLK",3035,5166
"BLK",3050,10797
"BLK",3116,10822
"BLK",3619,4257
"BLK",3630,6889
"BLK",3702,3799
"BLK",3859,6382
"BLK",3900,6058
"BLK",3930,7334
"BLK",4111,4658
"BLK",4295,6189
"BLK",4749,4379
"BLK",4760,2008
"BLK",5030,3429
"BLK",5105,4260
"BLK",6237,515
"BLK",8113,1959
"BLK",10548,6843
"BOU",825,5956
"BOU",867,1957
"BOU",880,7000
"BOU",985,4026
"BOU",1017,8902
"BOU",1022,8033
"BOU",1030,5027
"BOU",1047,9963
"BOU",1119,2947
"BOU",1329,1120
"BOU",1833,1199
"BOU",1962,3941
"BOU",1985,10013
"BOU",1990,9028
"BOU",1991,6995
"BOU",2025,6239
"BOU",2041,7972
"BOU",2097,2087
"BOU",2126,4901
"BOU",2187,3117
"BOU",2965,9928
"BOU",2970,7001
"BOU",2979,6034
"BOU",2985,2068
"BOU",2986,9038
"BOU",3000,3000
"BOU",3003,8030
"BOU",3020,5003
"BOU",3045,1054
"BOU",3213,3914
"BOU",3837,4047
"BOU",3906,6129
"BOU",3963,9941
"BOU",3980,2000
"BOU",3982,992
"BOU",3995,7930
"BOU",4029,8991
"BOU",4034,3021
"BOU",4052,6953
"BOU",4344,5551
"BOU",4671,9276
"BOU",4941,1819
"BOU",4950,6049
"BOU",4953,6837
"BOU",4993,2800
"BOU",5000,7920
"BOU",5007,10200
"BOU",5028,904
"BOU",5338,5326
"BOU",5582,2956
"BOU",5865,4315
"BOU",5936,4923
"BOU",5970,7000
"BOU",6000,10000
"BOU",6014,8129
"BOU",6019,2108
"BOU",6035,4166
"BOU",6041,6091
"BOU",6231,8724
"BOU",6566,1411
"BOU",6921,2216
"BOU",6969,1359
"BOU",6992,5110
"BOU",7000,6000
"BOU",7000,8000
"BOU",7033,3963
"BOU",7040,9003
"BOU",7058,7069
"BOU",7069,2606
"BOU",7173,10100
"BOU",7755,1206
"BOU",7845,5779
"BOU",7923,3064
"BOU",7989,9870
"BOU",8000,2000
"BOU",8000,5000
"BOU",8000,7000
"BOU",8146,3878
"BOU",8160,8000
"BOU",8369,8968
"BOU",8959,1468
"BOU",8990,5880
"BOU",9000,4000
"BOU",9000,5000
"BOU",9000,10000
"BOU",9045,9054
"BOU",9050,7913
"BOU",9098,6983
"BOU",9100,2000
"BOU",9199,3237
"BOU",9870,3109
"BOU",9941,8010
"BOU",9949,2061
"BOU",10000,9000
"BOU",10030,7052
"BOU",10058,5069
"BOU",10087,5950
"BOU",10100,9954
"BOU",10177,4031
"BOU",10270,1468
"BPB",657,8861
"BPB",781,7019
"BPB",813,2792
"BPB",852,5120
"BPB",1000,4000
"BPB",1014,1270
"BPB",1135,5766
"BPB",1155,2621
"BPB",1539,8038
"BPB",1630,10111
"BPB",1770,1222
"BPB",1780,3988
"BPB",1837,10050
"BPB",1921,1784
"BPB",1975,6117
"BPB",2000,5000
"BPB",2000,7000
"BPB",2052,9245
"BPB",2147,3202
"BPB",2231,7934
"BPB",2640,6376
"BPB",2750,5009
"BPB",2839,8135
"BPB",2854,2106
"BPB",2896,2872
"BPB",3000,6000
"BPB",3042,3698
"BPB",3105,1216
"BPB",3327,9174
"BPB",3367,10277
"BPB",3765,8559
"BPB",3836,4613
"BPB",3851,2694
"BPB",4000,10000
"BPB",4041,2388
"BPB",4101,6707
"BPB",4167,1342
"BPB",4181,5760
"BPB",4418,3956
"BPB",4538,7846
"BPB",4612,10041
"BPB",4854,8849
"BPB",4898,2239
"BPB",4933,1099
"BPB",4973,4782
"BPB",4985,3952
"BPB",4998,2930
"BPB",5100,8007
"BPB",5274,6305
"BPB",5290,7000
"BPB",5870,6000
"BPB",5935,8800
"BPB",5938,6810
"BPB",5966,10094
"BPB",6000,5000
"BPB",6000,8000
"BPB",6032,3916
"BPB",6071,2055
"BPB",6075,2950
"BPB",6107,881
"BPB",6840,7165
"BPB",6932,1983
"BPB",6937,4030
"BPB",6973,4893
"BPB",7000,8000
"BPB",7090,1359
"BPB",7177,8969
"BPB",7238,6029
"BPB",7299,2861
"BPB",7460,9832
"BPB",7671,1880
"BPB",7771,8316
"BPB",7913,4903
"BPB",7930,3166
"BPB",7953,983
"BPB",8041,6113
"BPB",8056,9685
"BPB",8069,8928
"BPB",8250,3991
"BPB",8296,6622
"BPB",8678,4926
"BPB",8836,5956
"BPB",8863,6971
"BPB",8891,3301
"BPB",8899,8957
"BPB",8903,4101
"BPB",9096,9972
"BPB",9173,1135
"BPB",9187,2095
"BPB",9260,7550
"BPB",9860,2998
"BPB",9953,5337
"BPB",10068,1791
"BPB",10072,1069
"BPB",10144,9861
"BPB",10263,8724
"BPB",10269,4109
"BPB",10336,5503
"BPB",10337,7047
"BRA",840,7640
"BRA",914,7765
"BRA",1022,9319
"BRA",1259,9750
"BRA",1601,4781
"BRA",1775,4130
"BRA",2009,9090
"BRA",2075,5815
"BRA",2086,9917
"BRA",2123,7662
"BRA",2200,7014
"BRA",2529,4972
"BRA",2722,712
"BRA",2781,8929
"BRA",2952,10015
"BRA",3105,7323
"BRA",3171,7530
"BRA",3458,7096
"BRA",3614,4348
"BRA",3647,5684
"BRA",4155,5039
"BRA",4185,9493
"BRA",4561,8901
"BRA",4705,7743
"BRA",4970,7833
"BRA",4993,10029
"BRA",5000,9000
"BRA",5048,7457
"BRA",5701,9749
"BRA",6037,9033
"BRA",6159,8014
"BRA",6521,6496
"BRA",6659,9531
"BRA",6769,9066
"BRA",6930,7995
"BRA",7189,8884
"BRA",7840,7640
"BRA",8958,10599
"BRA",10610,8630
"BUC",660,9915
"BUC",864,5034
"BUC",1000,3870
"BUC",1006,7660
"BUC",1153,685
"BUC",1155,7621
"BUC",1188,6194
"BUC",1546,8685
"BUC",1810,9062
"BUC",1918,2963
"BUC",1935,1465
"BUC",2039,4031
"BUC",2096,5028
"BUC",2096,7115
"BUC",2099,8067
"BUC",2103,2194
"BUC",2127,5796
"BUC",2277,9479
"BUC",2320,2080
"BUC",2825,1393
"BUC",2833,2801
"BUC",2853,7202
"BUC",2939,8345
"BUC",2985,4791
"BUC",3009,6004
"BUC",3017,3902
"BUC",3120,9866
"BUC",3139,9056
"BUC",3349,2024
"BUC",3870,8000
"BUC",3992,5120
"BUC",4040,9000
"BUC",4047,2963
"BUC",4052,1295
"BUC",4076,7025
"BUC",4095,9969
"BUC",4192,5945
"BUC",4201,3911
"BUC",4209,2268
"BUC",4818,877
"BUC",4925,7027
"BUC",4935,2821
"BUC",4939,3874
"BUC",4946,5305
"BUC",4985,5861
"BUC",5033,9843
"BUC",5087,7978
"BUC",5110,8996
"BUC",5409,2133
"BUC",5852,7974
"BUC",5939,9949
"BUC",5990,3941
"BUC",5995,7140
"BUC",6000,1000
"BUC",6000,6000
"BUC",6037,9093
"BUC",6075,3027
"BUC",6080,2008
"BUC",6098,4979
"BUC",6860,7000
"BUC",6946,955
"BUC",6948,5030
"BUC",7000,7920
"BUC",7004,10050
"BUC",7016,5953
"BUC",7030,3948
"BUC",7053,8915
"BUC",7174,3047
"BUC",7287,1799
"BUC",7851,7021
"BUC",7940,8852
"BUC",7946,3045
"BUC",7952,5868
"BUC",7986,1841
"BUC",8000,10000
"BUC",8052,5030
"BUC",8080,7828
"BUC",8090,1107
"BUC",8090,4008
"BUC",8898,9064
"BUC",8909,7041
"BUC",8938,2921
"BUC",9000,1000
"BUC",9015,2209
"BUC",9025,7883
"BUC",9036,5793
"BUC",9059,9932
"BUC",9061,4965
"BUC",9158,3972
"BUC",9857,5954
"BUC",9889,2045
"BUC",9902,9981
"BUC",9947,4915
"BUC",10000,1000
"BUC",10000,3000
"BUC",10000,7000
"BUC",10000,8000
"BUC",10022,9045
"BUC",10137,3971
"BV",799,9089
"BV",863,4973
"BV",915,6098
"BV",980,6872
"BV",1035,2166
"BV",1061,10314
"BV",1078,7983
"BV",1180,2874
"BV",1223,3866
"BV",1290,990
"BV",1869,6753
"BV",1921,3216
"BV",1976,9066
"BV",1991,4730
"BV",2000,3840
"BV",2016,7871
"BV",2033,5905
"BV",2046,10066
"BV",2096,1785
"BV",2196,829
"BV",2639,4585
"BV",2731,3923
"BV",2748,689
"BV",2811,7908
"BV",2812,5974
"BV",2883,8724
"BV",2969,2439
"BV",2990,3110
"BV",2994,10080
"BV",3170,6717
"BV",3722,1034
"BV",3784,7079
"BV",3806,1276
"BV",3835,8274
"BV",3920,5940
"BV",3942,3767
"BV",3945,2715
"BV",4021,8955
"BV",4023,5118
"BV",4301,10542
"BV",4780,3821
"BV",4868,9742
"BV",4950,3996
"BV",5019,5821
"BV",5049,8816
"BV",5067,6708
"BV",5071,5084
"BV",5139,8717
"BV",5611,6583
"BV",5670,1023
"BV",5735,10459
"BV",5741,4023
"BV",5778,716
"BV",5891,7949
"BV",5939,5885
"BV",6120,3148
"BV",6170,4958
"BV",6507,8815
"BV",6637,8111
"BV",6654,2099
"BV",6879,3285
"BV",7018,4209
"BV",7067,5074
"BV",7175,6074
"BV",7324,460
"BV",7354,7367
"BV",7354,10545
"BV",7792,5097
"BV",7793,10444
"BV",7900,6827
"BV",8079,2958
"BV",8099,3602
"BV",8152,1049
"BV",8211,7603
"BV",8218,1766
"BV",8236,9131
"BV",8265,6052
"BV",8475,1074
"BV",8593,2050
"BV",8876,9694
"BV",8892,6820
"BV",8920,6004
"BV",8949,8487
"BV",8991,4005
"BV",9089,8799
"BV",9130,3007
"BV",9157,4819
"BV",9792,7097
"BV",9795,4921
"BV",9914,5877
"BV",9941,3873
"BV",10040,9045
"BV",10048,8051
"BV",10157,2548
"BV",10180,3214
"BV",10240,10000
"BV",10414,-137
"CAR",285,5380
"CAR",673,12064
"CAR",906,1034
"CAR",986,1190
"CAR",3874,13598
"CAR",4140,4946
"CAR",4716,5072
"CAR",4756,2740
"CAR",4886,2848
"CAR",5040,4825
"CAR",5138,3131
"CAR",5890,1523
"CAR",6054,3563
"CAR",6318,3622
"CAR",7155,2709
"CAR",7394,1645
"CAR",7581,2354
"CAR",7792,2256
"CAR",8775,2268
"CAR",8872,2445
"CAR",9095,1153
"CAR",10460,9984
"CAR",11116,7823
"CAR",11176,7883
"CB",301,1174
"CB",567,8924
"CB",875,6673
"CB",962,2642
"CB",1000,6000
"CB",1000,8000
"CB",1153,4905
"CB",1207,4307
"CB",1280,9995
"CB",1381,2032
"CB",1750,6490
"CB",1762,8873
"CB",1861,3920
"CB",1875,9857
"CB",2000,5000
"CB",2000,8000
"CB",2103,2938
"CB",2676,3842
"CB",2719,2448
"CB",2838,6079
"CB",2947,6392
"CB",3060,5080
"CB",3217,7652
"CB",3384,10027
"CB",3439,9023
"CB",3641,3446
"CB",3689,10243
"CB",3910,5002
"CB",3958,6681
"CB",4000,7000
"CB",4012,8069
"CB",4013,6240
"CB",4075,2423
"CB",4135,7839
"CB",4197,8965
"CB",4302,2930
"CB",5000,4000
"CB",5204,3884
"CB",5275,4752
"CB",5469,1033
"CB",5615,6447
"CB",5635,4105
"CB",5823,4969
"CB",5832,6414
"CB",5870,5548
"CB",5870,10820
"CB",6567,5184
"CB",6808,3638
"CB",6868,7812
"CB",7020,7543
"CB",7066,5296
"CB",7322,10300
"CB",7332,3224
"CB",7727,4264
"CB",7801,2340
"CB",7853,2915
"CB",7915,8806
"CB",7955,2518
"CB",7975,8842
"CB",8227,2793
"CB",8597,2242
"CB",8652,9873
"CB",8895,4260
"CB",8902,9019
"CB",9409,8368
